id,name,team,role,battingStyle,bowlingStyle
dfc89c58,MDN Hansika,Sri Lanka,Batsman,,
1b3718d2,PM Weerakkody,Sri Lanka,Batsman,,
a1c4aed5,PRCS Kumarihami,Sri Lanka,Batsman,,
808f2939,RA Kottahachchi,Unknown,Unknown,,
92e41d14,RD Kottahachchi,Unknown,Unknown,,
13fa6ffc,RMPJ Rambukwella,Unknown,Unknown,,
5838cb64,SIP Fernando,Sri Lanka,Batsman,,
53068b45,GWHM Perera,Sri Lanka,Batsman,,
7934d6fb,JWHD Boteju,Unknown,Unknown,,
4ac6664d,KADA Kanchana,Sri Lanka,Bowler,,
2fa2647c,M Pethiyagoda,Unknown,Unknown,,
10061830,PN Udawatta,Unknown,Unknown,,
4950c8db,RR Wimalasiri,Unknown,Unknown,,
07485bb9,HML Madushani,Sri Lanka,Batsman,,
63841782,ID Gunawardene,Unknown,Unknown,,
b37b035c,MGMCP Gunawardene,Sri Lanka,Batsman,,
e5609932,SPD Jayamahamudali,Unknown,Unknown,,
7c6293d1,A Orfila,Gibraltar,Unknown,,
5629202a,CJ Phillips,Gibraltar,Batsman,,
17f344c4,D Massil,Israel,Bowler,,
41acc8bf,E Kahamker,Israel,Batsman,,
8da9a284,E Solomon,Israel,Batsman,,
6fea65a0,Emanuel Solomon,Israel,Batsman,,
fd4959c8,HE Kearns,Unknown,Unknown,,
78f719ea,IDM Latin,Gibraltar,Batsman,,
027662be,J Evans,Israel,Bowler,,
40d29a33,J Hazell,Gibraltar,Batsman,,
7cd7eb50,JD Freyone,Gibraltar,Batsman,,
8ad721dd,K Aswani,Gibraltar,Batsman,,
441006af,K Mirpuri,Gibraltar,Batsman,,
81898acc,KJ Ferrary,Gibraltar,Batsman,,
fbac5c86,M Hoffman,Israel,Batsman,,
486f252b,MO Bacarese,Gibraltar,Batsman,,
a2424a28,NN Davidson,Unknown,Unknown,,
8f929af6,R Schachat,Israel,Bowler,,
856fc47a,S Bangera,Israel,Batsman,,
1d1a15fa,S Suarez,Gibraltar,Bowler,,
b7861788,S Waskar,Israel,Unknown,,
b02bdcfc,SA Chipolina,Gibraltar,Bowler,,
13f86301,SRM Arachichige,Israel,Bowler,,
e62a07ce,Y Razpurker,Israel,Bowler,,
39e599c8,A McAuley,Isle of Man,Batsman,,
a5efce80,A Sarma,Germany,Batsman,,
63af7f6e,A van den Berg,Isle of Man,Bowler,,
7ed05554,AM Killey,Isle of Man,Batsman,,
3daaabaa,Ahmed Wardak,Germany,Bowler,,
89b7e368,Asad Mohammad,Germany,Batsman,,
20ccbb4c,B Ess,Germany,Batsman,,
fa135031,C Hawke,Isle of Man,Batsman,,
178b4188,D Kniveton,Isle of Man,Batsman,,
92256e66,D Weston,Germany,Batsman,,
281d4749,DH Mclean,Unknown,Unknown,,
0c5f662b,DJ Hawke,Isle of Man,Bowler,,
